N,C.E.,MultiP.0,T.0,TDS.1,MultiP.1,T.1,TDS.2,MultiP.2,T.2,time,arduino N,comm
1,0,4.58,20.6,0,7.36,20,0,3.46,20.1,7:20,14-Jan,,
2,92.773,639,20.2,297.852,184.4,20.2,214.844,254,20.3,7:34,15-23,"Se agrega súper poquito, una puntita de cuchara. Al 1ro se agrego un poco más.",
3,102.539,685,20.3,429.687,298,20.2,327.148,380,20.2,7:47,24-43,Se hecha nuevamente poquito. Al 1ro se hechoun poquito menos para compensar.,
4,112.305,764,20.3,639.648,745,20.2,693.359,621,20.2,7:55,44-65,,
5,166.016,1080,20.7,996.094,1126,20.3,908.203,1077,20.5,8:04,66-83,,
6,229.492,1499,20.4,1171.875,1468,20.2,1088.867,1340,20.3,8:10,84-99,,
7,302.734,1889,20.6,1464.844,1829,20.4,1215.82,1834,20.6,8:28,100-124,,
8,351.562,2245,21.1,1547.852,2241,21,1337.891,2191,20.8,9:20,125-151,,
9,458.984,2912,21.1,1909.18,3050,21.4,1586.914,3584,21.1,9:28,152-179,,
10,556.641,3404,21.4,1933.594,3637,21.2,1679.687,3941,21.4,10:10,180-196,,
11,732.422,4444,22.5,2182.617,4561,22.5,1821.289,5447,22.4,12:30,27-Jan,,
12,966.797,5880,22.4,2255.859,6280,22.2,2089.844,6399,22.4,12:35,28-59,,
13,1284.18,7936,22.4,2304.687,8063,22.4,2041.016,8094,22.4,13:10,60-89,,
14,1547.852,9518,22.5,2363.281,9563,22.4,2070.312,9433,22.4,13:20,90-123,,
15,1787.109,fuera de rango,22.3,2363.164,fuera de rango,22.4,2167.969,fuera de rango,22.4,13:55,124-139,,
