abs﻿#;Hora;t;pHGravity.1;pHGravity.2;Atlas;Multiparámetro;Comment
1;0.2927103;36480;1220.703;1308.594;5.591;5.67;Agua destilada
2;0.2933116;88467;1201.172;1289.062;5.59;5.6;""""""
3;0.2953502;264626;849.609;981.445;5.59;3.96;sol. ph 4
4;0.296329;349190;834.961;966.797;5.591;3.93;""""""
5;0.3001439;678806;1884.766;1889.648;5.592;7.1;sol. ph 7
6;0.3019983;839022;1889.648;1894.531;5.593;7.1;""""""
7;0.3053139;1125520;2846.68;2734.375;5.594;10;sol. ph 10
8;0.3066126;1237720;2851.562;2739.258;5.594;10;""""""
9;0.3097805;1511437;834.961;971.68;5.594;3.93;sol. ph 4
10;0.311562;1665356;844.727;976.562;5.594;3.93;""""""
11;0.3146536;1932493;1894.531;1899.414;;7.1;sol. ph 7
12;0.3160438;2052598;1894.531;1899.414;5.835;7.1;""""""
13;0.3193061;2334487;2851.562;2734.375;4.295;9.99;sol. ph 10
14;0.3239478;2735538;2856.445;2739.258;4.262;9.99;""""""
15;0.327123;3009858;2377.93;2324.219;7.189;8.5;Agua con bicarbonato
16;0.3281938;3102375;2377.93;2319.336;7.205;8.49;""""""
17;0.3297334;3235408;292.969;488.281;;2.24;Limón exprimido
18;0.3322969;3456908;297.852;493.164;4.327;2.24;""""""
19;0.3349455;3685753;1713.867;1791.992;7.305;7.31;Agua del grifo
20;0.3355224;3735624;1772.461;1840.82;;7.37;""""""
