sensor_id,timestamp,value
0,1636628558,184
0,1636628561,184
0,1636628564,184
0,1636628567,184
0,1636628570,184
0,1636628573,184
0,1636628576,184
0,1636628579,184
0,1636628582,184
0,1636628585,184
0,1636628588,184
0,1636628591,184
0,1636628594,184
0,1636628597,184
0,1636628600,184
0,1636628603,184
0,1636628606,184
0,1636628609,184
0,1636628612,184
0,1636628615,184
0,1636628618,184
0,1636628621,184
0,1636628624,184
0,1636628627,185
0,1636628630,184
0,1636628633,184
0,1636628636,184
0,1636628639,184
0,1636628642,184
0,1636628645,184
0,1636628648,184
0,1636628651,184
0,1636628654,184
0,1636628657,184
0,1636628660,184
0,1636628663,184
0,1636628666,183
0,1636628669,184
0,1636628672,184
0,1636628675,184
0,1636628678,184
0,1636628681,184
0,1636628684,184
0,1636628687,184
0,1636628690,184
0,1636628693,184
0,1636628696,184
0,1636628699,184
0,1636628702,184
0,1636628705,184
0,1636628708,183
0,1636628711,184
0,1636628714,184
0,1636628717,184
0,1636628720,184
0,1636628723,184
0,1636628727,185
0,1636628730,184
0,1636628733,184
0,1636628736,184
0,1636628739,184
0,1636628742,184
0,1636628745,184
0,1636628748,184
0,1636628751,184
0,1636628754,184
0,1636628757,184
0,1636628760,184
0,1636628763,184
0,1636628766,184
0,1636628769,184
0,1636628772,184
0,1636628775,184
0,1636628778,183
0,1636628781,183
0,1636628784,183
0,1636628787,183
0,1636628790,183
0,1636628793,183
0,1636628796,183
0,1636628799,184
0,1636628802,184
0,1636628805,184
0,1636628808,183
0,1636628811,183
0,1636628814,183
0,1636628817,183
0,1636628820,183
0,1636628823,184
0,1636628826,183
0,1636628829,184
0,1636628832,184
0,1636628835,184
0,1636628838,183
0,1636628841,183
0,1636628844,183
0,1636628847,183
0,1636628850,183
0,1636628853,183
0,1636628856,183
0,1636628859,184
0,1636628862,183
0,1636628865,183
0,1636628868,183
0,1636628871,184
0,1636628874,183
0,1636628877,183
0,1636628880,184
0,1636628883,184
0,1636628886,184
0,1636628889,184
0,1636628892,184
