t; DS18B20.1; DS18B20.2; DS18B20.3; DS18B20.4; DS18B20.5; termistor; Atlas
556891; 18.375; 18.500; 18.312; 17.937; 16.937; 504; 19.771
606925; 18.375; 18.500; 22.250; 22.500; 21.062; 535; 19.771
703092; 22.875; 22.500; 25.625; 25.687; 24.500; 569; 19.759
768288; 26.750; 25.875; 25.187; 25.187; 23.937; 558; 24.139
810456; 26.375; 25.437; 29.500; 29.625; 28.562; 609; 28.036
850316; 30.875; 29.937; 29.000; 29.000; 27.937; 602; 27.610
909307; 30.437; 29.312; 32.437; 32.500; 31.437; 639; 32.219
961630; 33.812; 32.812; 38.000; 38.187; 37.125; 689; 31.750
1022548; 39.625; 38.375; 40.312; 40.187; 39.062; 709; 35.196
1092593; 41.187; 40.562; 41.812; 41.562; 40.562; 720; 41.053
1180070; 42.437; 42.125; 43.000; 43.125; 42.062; 732; 42.822
1269550; 44.000; 43.375; 46.437; 46.687; 45.500; 753; 44.201
1336960; 48.312; 46.750; 45.375; 45.500; 44.437; 741; 45.551
1593961; 47.375; 45.562; 43.187; 43.375; 42.562; 725; 49.994
1745728; 44.937; 43.437; 42.250; 42.437; 41.562; 715; 49.102
1840846; 43.812; 42.437; 41.750; 41.812; 40.937; 710; 46.692
2121991; 43.187; 41.937; 34.562; 35.187; 34.437; 648; 45.572
2298292; 37.250; 34.687; 31.062; 31.437; 30.562; 614; 44.956
2376314; 33.187; 31.000; 28.750; 29.187; 28.250; 601; 39.723
2449026; 30.750; 28.625; 26.812; 27.000; 26.187; 566; 35.502
2564620; 28.625; 26.625; 24.000; 24.187; 23.375; 541; 33.123
2657371; 25.687; 23.750; 22.000; 22.000; 21.312; 518; 31.177
2835500; 23.500; 21.687; 18.937; 18.875; 18.125; 486; 28.293
2923830; 20.312; 18.562; 17.875; 17.625; 17.000; 471; 26.151
3088724; 19.125; 17.437; 16.062; 15.937; 15.125; 416; 22.881
3227259; 17.125; 15.625; 14.687; 14.437; 13.750; 407; 21.714
3372692; 15.687; 14.312; 13.437; 12.812; 12.000; 390; 19.845
3475600; 14.062; 13.000; 12.562; 11.750; 11.125; 379; 18.483
3598581; 13.062; 12.125; 11.937; 11.187; 10.625; 374; 16.948
3968322; 11.937; 11.687; 11.187; 10.250; 10.000; 350; 15.836
4013944; 10.125; 11.312; 9.437; 8.625; 7.813; 346; 14.763
4063216; 8.937; 9.312; 8.062; 7.375; 6.438; 334; 12.851
4135387; 7.688; 8.000; 5.813; 5.188; 4.375; 305; 11.185
4190367; 5.063; 5.813; 4.000; 3.000; 2.312; 287; 9.613
4376264; 3.250; 3.687; 4.813; 3.625; 2.812; 304; 7.400
4734504; 5.188; 4.125; 6.938; 6.750; 6.000; 328; 5.191
4845409; 7.875; 6.625; 7.188; 7.875; 7.063; 335; 5.345
4936016; 9.000; 7.125; 9.250; 9.250; 8.250; 349; 6.513
5039731; 10.000; 8.312; 11.687; 10.750; 9.937; 362; 7.347
5183584; 11.687; 11.562; 14.062; 11.750; 11.875; 361; 9.524
5231929; 12.875; 12.625; 16.437; 15.875; 14.937; 418; 11.762
5334340; 16.000; 16.062; 20.187; 19.500; 18.812; 475; 12.986
5428417; 19.937; 20.125; 24.312; 24.000; 23.062; 517; 16.595
5600074; 23.687; 24.062; 31.750; 31.500; 30.562; 599; 21.395
5983896; 31.312; 31.687; 37.812; 37.500; 36.625; 661; 25.694
6364708; 37.875; 38.000; 43.687; 43.562; 42.375; 712; 33.861
6474133; 43.812; 44.000; 47.750; 47.625; 46.500; 750; 39.588
6556560; 48.000; 48.062; 49.500; 49.562; 48.500; 761; 46.113
6666207; 49.750; 49.937; 51.187; 51.687; 50.062; 771; 50.590
6752167; 51.187; 52.062; 53.250; 53.250; 52.187; 784; 52.764
6814581; 53.250; 53.625; 54.687; 54.750; 53.562; 795; 54.823
6879730; 54.625; 55.062; 57.812; 57.875; 56.625; 813; 57.097
6975414; 57.750; 58.125; 60.875; 61.062; 59.875; 833; 58.564
7066018; 60.750; 61.125; 55.875; 56.125; 55.000; 800; 61.377
7240300; 55.687; 56.062; 53.062; 52.625; 51.750; 782; 65.225
7339971; 53.062; 53.125; 43.937; 43.750; 42.437; 711; 60.292
7449696; 43.812; 44.125; 40.375; 40.125; 39.125; 704; 56.112
7576290; 40.437; 40.562; 35.000; 34.750; 33.750; 649; 45.885
7743815; 35.125; 35.187; 32.750; 32.500; 31.375; 637; 42.459
7901228; 32.750; 33.000; 25.375; 25.187; 23.937; 560; 36.015
8024398; 25.500; 25.375; 19.937; 20.687; 18.750; 528; 33.755
8130306; 20.875; 20.875; 16.437; 14.937; 13.562; 467; 26.410
8194786; 15.625; 15.437; 14.812; 13.687; 12.875; 490; 21.795
8274865; 14.250; 14.125; 13.000; 11.687; 11.375; 436; 16.598
8344208; 12.875; 12.312; 10.687; 9.125; 8.250; 413; 14.846
8489348; 9.937; 9.750; 7.875; 6.500; 6.188; 374; 13.831
8560365; 8.062; 7.063; 7.500; 6.438; 6.125; 377; 10.724
8652963; 7.563; 7.250; 6.188; 5.438; 4.875; 367; 8.188
8913447; 6.188; 6.438; 6.375; 5.188; 4.813; 360; 7.495
9039592; 6.250; 5.188; 5.000; 4.000; 3.312; 349; 6.645
